Step	Training Loss
456	0.546000
457	0.377200
458	0.343600
459	0.392100
460	0.617200
461	0.362100
462	0.356900
463	0.496200
464	0.568600
465	0.560700
466	0.254500
467	0.285900
468	0.606600
469	0.799700
470	0.388600
471	0.414200
472	0.212400
473	0.763400
474	0.538500
475	0.573500
476	0.732000
477	0.572500
478	0.494300
479	0.334800
480	0.488400
481	0.451600
482	0.219200
483	0.242200
484	0.711100
485	0.307300
486	0.273900
487	0.759700
488	0.280100
489	0.434200
490	0.318900
491	0.185600
492	0.586300
493	0.728100
494	0.390700
495	0.501100
496	0.286900
497	0.478700
498	0.518000
499	0.707900
500	0.756800
501	0.503500
502	0.673400
503	0.247500
504	0.198500
505	0.118200
506	0.486900
507	1.133200
508	0.366800
509	0.762600
510	0.299300
511	0.207100
512	0.215000
513	0.388900
514	0.326700
515	0.343600
516	0.732800
517	0.453300
518	0.287700
519	0.418300
520	0.192200
521	0.599500
522	0.700800
523	0.304900
524	0.853300
525	0.607000
526	0.373000
527	0.348600
528	0.203600
529	0.330800
530	0.363700
531	0.302800
532	0.259000
533	0.208500
534	0.358700
535	0.501200
536	0.309200
537	0.468900
538	0.561400
539	0.785300
540	0.674400
541	0.619600
542	0.501900
543	0.406900
544	0.379600
545	0.408600
546	0.495800
547	1.015200
548	0.420800
549	0.374700
550	0.345500
551	0.351100
552	0.869500
553	0.366400
554	0.597400
555	0.613500
556	0.157700
557	0.228300
558	0.428600
559	0.312800
560	0.719600
561	0.626200
562	0.392300
563	0.951100
564	0.660100
565	0.503300
566	0.742200
567	0.376000
568	0.410000
569	0.590000
570	0.297100
571	0.272100
572	0.619000
573	0.503600
574	0.561700
575	0.429700
576	0.379400
577	0.639500
578	0.991700
579	0.376500
580	0.571800
581	0.298800
582	0.631900
583	0.432600
584	0.444800
585	0.647700
586	0.358700
587	0.170100
588	0.590300
589	0.560400
590	0.292900
591	0.753600
592	1.354500
593	0.332700
594	0.221900
595	0.513700
596	0.464500
597	0.495400
598	0.301500
599	0.628300
600	0.225200
601	0.257200
602	0.953500
603	0.357500
604	0.271300
605	0.484600
606	0.822900
607	0.209800
608	0.508600
609	0.775400
610	0.703100
611	0.286000
612	0.458400
613	0.325400
614	0.629400
615	0.610700
616	0.235500
617	0.468300
618	0.451200
619	0.651300
620	0.415100
621	0.254900
622	0.510500
623	0.572000
624	0.344000
625	0.183800
626	0.465600
627	0.707700
628	0.567400
629	0.361300
630	0.391000
631	0.441800
632	0.823600
633	0.097500
634	0.501700
635	0.641800
636	0.812000
637	0.630600
638	0.428300
639	0.581100
640	0.404000
641	0.641500
642	0.219700
643	0.559400
644	0.571800
645	0.482100
646	0.602000
647	0.369700
648	0.739800
649	0.420300
650	0.371000
651	0.429600
652	0.474000
653	0.284700
654	0.462300
655	0.346400
656	0.535700
657	0.847900
658	0.356500
659	0.320100
660	0.456900
661	0.430200
662	0.280500
663	0.442900
664	0.275700
665	0.453800
666	0.471400
667	0.361700
668	0.231300
669	0.328400
670	0.632300
671	0.485300
672	0.979300
673	0.284200
674	0.313600
675	0.231700
676	0.851600
677	0.304600
